gender,sport,location,year,rank,name,country,results
M,discus throw,rio,2016,1,christoph harting,GER,68.37
M,discus throw,rio,2016,2,piotr malachowski,POL,67.55
M,discus throw,rio,2016,3,daniel jasinski,GER,67.05
M,discus throw,rio,2016,4,martin kupper,EST,66.58
M,discus throw,rio,2016,5,gerd kanter,EST,65.1
M,discus throw,rio,2016,6,lukas weisshaidinger,AUT,64.95
M,discus throw,rio,2016,7,zoltan kovago,HUN,64.5
M,discus throw,rio,2016,8,apostolos parellis,CYP,63.72
M,discus throw,rio,2016,9,philip milanov,BEL,62.22
M,discus throw,rio,2016,10,axel harstedt,SWE,62.12
M,discus throw,rio,2016,11,mason finley,USA,62.05
M,discus throw,rio,2016,12,andrius gudzius,LTU,60.66
W,discus throw,rio,2016,1,sandra perkovic,CRO,69.21
W,discus throw,rio,2016,2,melina robert-michon,FRA,66.73
W,discus throw,rio,2016,3,denia caballero,CUB,65.34
W,discus throw,rio,2016,4,dani samuels,AUS,64.9
W,discus throw,rio,2016,5,xinyue su,CHN,64.37
W,discus throw,rio,2016,6,nadine muller,GER,63.13
W,discus throw,rio,2016,7,yang chen,CHN,63.11
W,discus throw,rio,2016,8,bin feng,CHN,63.06
W,discus throw,rio,2016,9,julia fischer,GER,62.67
W,discus throw,rio,2016,10,zinaida sendriute,LTU,61.89
W,discus throw,rio,2016,11,shanice craft,GER,59.85
M,hammer throw,rio,2016,1,dilshod nazarov,TJK,78.68
M,hammer throw,rio,2016,2,ivan tikhon,BLR,77.79
M,hammer throw,rio,2016,3,wojciech nowicki,POL,77.73
M,hammer throw,rio,2016,4,diego del real,MEX,76.05
M,hammer throw,rio,2016,5,marcel lomnicky,SVK,75.97
M,hammer throw,rio,2016,6,ashraf amgad elseify,QAT,75.46
M,hammer throw,rio,2016,7,krisztian pars,HUN,75.28
M,hammer throw,rio,2016,8,david soderberg,FIN,74.61
M,hammer throw,rio,2016,9,sergey kolomoyets,BLR,74.22
M,hammer throw,rio,2016,10,serghei marghiev,MDA,74.14
M,hammer throw,rio,2016,11,yevhen vynohradov,UKR,74.11
