gender,sport,location,year,rank,name,country,results
M,100m,rio,2016,1,usain bolt,JAM,0:00:9.81
M,100m,rio,2016,2,justin gatlin,USA,0:00:9.89
M,100m,rio,2016,3,andre de grasse,CAN,0:00:9.91
M,100m,rio,2016,4,yohan blake,JAM,0:00:9.93
M,100m,rio,2016,5,akani simbine,RSA,0:00:9.94
M,100m,rio,2016,6,ben youssef meite,CIV,0:00:9.96
M,100m,rio,2016,7,jimmy vicaut,FRA,0:00:10.04
M,100m,rio,2016,8,trayvon bromell,USA,0:00:10.06
W,100m,rio,2016,1,elaine thompson,JAM,0:00:10.71
W,100m,rio,2016,2,tori bowie,USA,0:00:10.83
W,100m,rio,2016,3,shelly-ann fraser-pryce,JAM,0:00:10.86
W,100m,rio,2016,4,marie-josee ta lou,CIV,0:00:10.86
W,100m,rio,2016,5,dafne schippers,NED,0:00:10.90
W,100m,rio,2016,6,michelle-lee ahye,TTO,0:00:10.92
W,100m,rio,2016,7,english gardner,USA,0:00:10.94
W,100m,rio,2016,8,christania williams,JAM,0:00:11.80
M,200m,rio,2016,1,usain bolt,JAM,0:00:19.78
M,200m,rio,2016,2,andre de grasse,CAN,0:00:20.02
M,200m,rio,2016,3,christophe lemaitre,FRA,0:00:20.12
M,200m,rio,2016,4,adam gemili,GBR,0:00:20.12
M,200m,rio,2016,5,churandy martina,NED,0:00:20.13
M,200m,rio,2016,6,lashawn merritt,USA,0:00:20.19
M,200m,rio,2016,7,alonso edward,PAN,0:00:20.23
M,200m,rio,2016,8,ramil guliyev,TUR,0:00:20.43
W,200m,rio,2016,1,elaine thompson,JAM,0:00:21.78
W,200m,rio,2016,2,dafne schippers,NED,0:00:21.88
W,200m,rio,2016,3,tori bowie,USA,0:00:22.15
W,200m,rio,2016,4,marie-josee ta lou,CIV,0:00:22.21
W,200m,rio,2016,5,dina asher-smith,GBR,0:00:22.31
W,200m,rio,2016,6,michelle-lee ahye,TTO,0:00:22.34
W,200m,rio,2016,7,deajah stevens,USA,0:00:22.65
W,200m,rio,2016,8,ivet lalova-collio,BUL,0:00:22.69
M,400m,rio,2016,1,wayde van niekerk,RSA,0:00:43.03
M,400m,rio,2016,2,kirani james,GRN,0:00:43.76
M,400m,rio,2016,3,lashawn merritt,USA,0:00:43.85
M,400m,rio,2016,4,machel cedenio,TTO,0:00:44.01
M,400m,rio,2016,5,karabo sibanda,BOT,0:00:44.25
M,400m,rio,2016,6,ali khamis khamis,BRN,0:00:44.36
M,400m,rio,2016,7,bralon taplin,GRN,0:00:44.45
M,400m,rio,2016,8,matthew hudson-smith,GBR,0:00:44.61
W,400m,rio,2016,1,shaunae miller,BAH,0:00:49.44
W,400m,rio,2016,2,allyson felix,USA,0:00:49.51
W,400m,rio,2016,3,shericka jackson,JAM,0:00:49.85
W,400m,rio,2016,4,natasha hastings,USA,0:00:50.34
W,400m,rio,2016,5,phyllis francis,USA,0:00:50.41
W,400m,rio,2016,6,stephenie ann mcpherson,JAM,0:00:50.97
W,400m,rio,2016,7,libania grenot,ITA,0:00:51.25
M,800m,rio,2016,1,david rudisha,KEN,0:01:42.15
M,800m,rio,2016,2,taoufik makhloufi,ALG,0:01:42.61
M,800m,rio,2016,3,clayton murphy,USA,0:01:42.93
M,800m,rio,2016,4,pierre-ambroise bosse,FRA,0:01:43.41
M,800m,rio,2016,5,ferguson cheruiyot rotich,KEN,0:01:43.55
M,800m,rio,2016,6,marcin lewandowski,POL,0:01:44.20
M,800m,rio,2016,7,alfred kipketer,KEN,0:01:46.02
M,800m,rio,2016,8,boris berian,USA,0:01:46.15
W,800m,rio,2016,1,caster semenya,RSA,0:01:55.28
W,800m,rio,2016,2,francine niyonsaba,BDI,0:01:56.49
