gender,sport,location,year,rank,name,country,results,Performance
M,alpine combined,pyeongchang,2018,1,marcel hirscher,AUT,0:02:06.52,2:06.52
M,alpine combined,pyeongchang,2018,2,alexis pinturault,FRA,0:02:06.75,2:06.75
M,alpine combined,pyeongchang,2018,3,victor muffat jeandet,FRA,0:02:07.54,2:07.54
M,alpine combined,pyeongchang,2018,4,marco schwarz,AUT,0:02:07.87,2:07.87
M,alpine combined,pyeongchang,2018,5,ted ligety,USA,0:02:07.97,2:07.97
M,alpine combined,pyeongchang,2018,6,thomas mermillod-blondin,FRA,0:02:08.02,2:08.02
M,alpine combined,pyeongchang,2018,7,kjetil jansrud,NOR,0:02:08.67,2:08.67
M,alpine combined,pyeongchang,2018,8,stefan hadalin,SLO,0:02:08.94,2:08.94
M,alpine combined,pyeongchang,2018,9,thomas dressen,GER,0:02:08.96,2:08.96
M,alpine combined,pyeongchang,2018,10,klemen kosi,SLO,0:02:09.37,2:09.37
M,alpine combined,pyeongchang,2018,11,luca aerni,SUI,0:02:09.52,2:09.52
M,alpine combined,pyeongchang,2018,12,filip zubcic,CRO,0:02:09.60,2:09.60
M,alpine combined,pyeongchang,2018,13,mauro caviezel,SUI,0:02:09.60,2:09.60
M,alpine combined,pyeongchang,2018,14,christof innerhofer,ITA,0:02:09.75,2:09.75
M,alpine combined,pyeongchang,2018,15,carlo janka,SUI,0:02:09.80,2:09.80
M,alpine combined,pyeongchang,2018,16,ondrej berndt,CZE,0:02:09.91,2:09.91
M,alpine combined,pyeongchang,2018,17,bryce bennett,USA,0:02:09.97,2:09.97
M,alpine combined,pyeongchang,2018,18,riccardo tonetti,ITA,0:02:10.21,2:10.21
M,alpine combined,pyeongchang,2018,19,natko zrncic dim,CRO,0:02:10.55,2:10.55
M,alpine combined,pyeongchang,2018,20,jack crawford,CAN,0:02:10.77,2:10.77
M,alpine combined,pyeongchang,2018,21,aleksander aamodt kilde,NOR,0:02:11.07,2:11.07
M,alpine combined,pyeongchang,2018,22,adam zampa,SVK,0:02:11.10,2:11.10
M,alpine combined,pyeongchang,2018,23,broderick thompson,CAN,0:02:11.38,2:11.38
M,alpine combined,pyeongchang,2018,24,andreas romar,FIN,0:02:11.52,2:11.52
M,alpine combined,pyeongchang,2018,25,marko vukicevic,SRB,0:02:11.74,2:11.74
M,alpine combined,pyeongchang,2018,26,kristaps zvejnieks,LAT,0:02:11.76,2:11.76
M,alpine combined,pyeongchang,2018,27,joan verdu,AND,0:02:12.54,2:12.54
M,alpine combined,pyeongchang,2018,28,olivier jenot,MON,0:02:13.44,2:13.44
M,alpine combined,pyeongchang,2018,29,marc oliveras,AND,0:02:14.64,2:14.64
M,alpine combined,pyeongchang,2018,30,christoffer faarup,DEN,0:02:15.21,2:15.21
M,alpine combined,pyeongchang,2018,31,igor zakurdayev,KAZ,0:02:15.47,2:15.47
M,alpine combined,pyeongchang,2018,32,dalibor samsal,HUN,0:02:15.94,2:15.94
M,alpine combined,pyeongchang,2018,33,dong woo kim,KOR,0:02:17.04,2:17.04
M,alpine combined,pyeongchang,2018,34,yuri danilochkin,BLR,0:02:18.72,2:18.72
M,alpine combined,pyeongchang,2018,35,marton kekesi,HUN,0:02:20.02,2:20.02
M,alpine combined,pyeongchang,2018,36,jared goldberg,USA,0:02:22.88,2:22.88
M,alpine combined,pyeongchang,2018,37,albin tahiri,KOS,0:02:23.40,2:23.40
W,alpine combined,pyeongchang,2018,1,michelle gisin,SUI,0:02:20.90,2:20.90
W,alpine combined,pyeongchang,2018,2,mikaela shiffrin,USA,0:02:21.87,2:21.87
W,alpine combined,pyeongchang,2018,3,wendy holdener,SUI,0:02:22.34,2:22.34
W,alpine combined,pyeongchang,2018,4,ragnhild mowinckel,NOR,0:02:22.63,2:22.63
W,alpine combined,pyeongchang,2018,5,petra vlhova,SVK,0:02:22.99,2:22.99
W,alpine combined,pyeongchang,2018,6,valerie grenier,CAN,0:02:23.44,2:23.44
W,alpine combined,pyeongchang,2018,7,ramona siebenhofer,AUT,0:02:23.45,2:23.45
W,alpine combined,pyeongchang,2018,8,federica brignone,ITA,0:02:23.53,2:23.53
W,alpine combined,pyeongchang,2018,9,denise feierabend,SUI,0:02:23.94,2:23.94
W,alpine combined,pyeongchang,2018,10,marta bassino,ITA,0:02:24.24,2:24.24
W,alpine combined,pyeongchang,2018,11,ana bucik,SLO,0:02:24.76,2:24.76
W,alpine combined,pyeongchang,2018,12,laura gauche,FRA,0:02:24.79,2:24.79
W,alpine combined,pyeongchang,2018,13,ricarda haaser,AUT,0:02:24.81,2:24.81
W,alpine combined,pyeongchang,2018,14,nevena ignjatovic,SRB,0:02:25.11,2:25.11
W,alpine combined,pyeongchang,2018,15,alice merryweather,USA,0:02:26.90,2:26.90
W,alpine combined,pyeongchang,2018,16,maryna gasienica-daniel,POL,0:02:27.19,2:27.19
W,alpine combined,pyeongchang,2018,17,katerina paulathova,CZE,0:02:29.09,2:29.09
W,alpine combined,pyeongchang,2018,18,barbara kantorova,SVK,0:02:29.94,2:29.94
M,downhill,pyeongchang,2018,1,aksel lund svindal,NOR,0:01:40.25,1:40.25
M,downhill,pyeongchang,2018,2,kjetil jansrud,NOR,0:01:40.37,1:40.37
M,downhill,pyeongchang,2018,3,beat feuz,SUI,0:01:40.43,1:40.43
M,downhill,pyeongchang,2018,4,dominik paris,ITA,0:01:40.79,1:40.79
M,downhill,pyeongchang,2018,5,thomas dressen,GER,0:01:41.03,1:41.03
M,downhill,pyeongchang,2018,6,peter fill,ITA,0:01:41.08,1:41.08
M,downhill,pyeongchang,2018,7,vincent kriechmayr,AUT,0:01:41.19,1:41.19
M,downhill,pyeongchang,2018,8,brice roger,FRA,0:01:41.39,1:41.39
M,downhill,pyeongchang,2018,9,matthias mayer,AUT,0:01:41.46,1:41.46
M,downhill,pyeongchang,2018,10,andreas sander,GER,0:01:41.62,1:41.62
M,downhill,pyeongchang,2018,11,max franz,AUT,0:01:41.75,1:41.75
M,downhill,pyeongchang,2018,12,hannes reichelt,AUT,0:01:41.76,1:41.76
M,downhill,pyeongchang,2018,13,mauro caviezel,SUI,0:01:41.86,1:41.86
M,downhill,pyeongchang,2018,14,manuel osborne-paradis,CAN,0:01:41.89,1:41.89
M,downhill,pyeongchang,2018,15,aleksander aamodt kilde,NOR,0:01:42.18,1:42.18
M,downhill,pyeongchang,2018,16,bryce bennett,USA,0:01:42.22,1:42.22
M,downhill,pyeongchang,2018,17,christof innerhofer,ITA,0:01:42.23,1:42.23
M,downhill,pyeongchang,2018,18,johan clarey,FRA,0:01:42.39,1:42.39
M,downhill,pyeongchang,2018,19,martin cater,SLO,0:01:42.53,1:42.53
M,downhill,pyeongchang,2018,20,jared goldberg,USA,0:01:42.59,1:42.59
M,downhill,pyeongchang,2018,21,marc gisin,SUI,0:01:42.82,1:42.82
M,downhill,pyeongchang,2018,22,emanuele buzzi,ITA,0:01:42.84,1:42.84
M,downhill,pyeongchang,2018,23,ryan cochran-siegle,USA,0:01:42.96,1:42.96
M,downhill,pyeongchang,2018,24,maxence muzaton,FRA,0:01:42.96,1:42.96
M,downhill,pyeongchang,2018,25,josef ferstl,GER,0:01:42.98,1:42.98
M,downhill,pyeongchang,2018,26,adrien theaux,FRA,0:01:42.99,1:42.99
M,downhill,pyeongchang,2018,27,bostjan kline,SLO,0:01:43.03,1:43.03
M,downhill,pyeongchang,2018,28,benjamin thomsen,CAN,0:01:43.19,1:43.19
M,downhill,pyeongchang,2018,29,miha hrobat,SLO,0:01:43.61,1:43.61
M,downhill,pyeongchang,2018,30,wiley maple,USA,0:01:43.72,1:43.72
M,downhill,pyeongchang,2018,31,andreas romar,FIN,0:01:43.78,1:43.78
M,downhill,pyeongchang,2018,32,dustin cook,CAN,0:01:43.80,1:43.80
M,downhill,pyeongchang,2018,33,gilles roulin,SUI,0:01:43.88,1:43.88
M,downhill,pyeongchang,2018,34,henrik von appen,CHI,0:01:44.02,1:44.02
M,downhill,pyeongchang,2018,35,broderick thompson,CAN,0:01:44.37,1:44.37
M,downhill,pyeongchang,2018,36,christoffer faarup,DEN,0:01:44.48,1:44.48
M,downhill,pyeongchang,2018,37,joan verdu,AND,0:01:44.65,1:44.65
M,downhill,pyeongchang,2018,38,filip forejtek,CZE,0:01:44.79,1:44.79
M,downhill,pyeongchang,2018,39,igor zakurdayev,KAZ,0:01:45.01,1:45.01
M,downhill,pyeongchang,2018,40,christopher hoerl,MDA,0:01:45.21,1:45.21
M,downhill,pyeongchang,2018,41,marko vukicevic,SRB,0:01:45.36,1:45.36
M,downhill,pyeongchang,2018,42,michal klusak,POL,0:01:45.42,1:45.42
M,downhill,pyeongchang,2018,43,marco pfiffner,LIE,0:01:45.61,1:45.61
M,downhill,pyeongchang,2018,44,yuri danilochkin,BLR,0:01:45.86,1:45.86
M,downhill,pyeongchang,2018,45,jan hudec,CZE,0:01:46.42,1:46.42
M,downhill,pyeongchang,2018,46,jan zabystran,CZE,0:01:46.60,1:46.60
M,downhill,pyeongchang,2018,47,simon breitfuss kammerlander,BOL,0:01:47.87,1:47.87
M,downhill,pyeongchang,2018,48,dong woo kim,KOR,0:01:47.99,1:47.99
M,downhill,pyeongchang,2018,49,ivan kovbasnyuk,UKR,0:01:48.57,1:48.57
M,downhill,pyeongchang,2018,50,albin tahiri,KOS,0:01:48.81,1:48.81
M,downhill,pyeongchang,2018,51,marko stevovic,SRB,0:01:49.50,1:49.50
M,downhill,pyeongchang,2018,52,patrick mc millan,IRL,0:01:49.98,1:49.98
M,downhill,pyeongchang,2018,53,marton kekesi,HUN,0:01:51.72,1:51.72
W,downhill,pyeongchang,2018,1,sofia goggia,ITA,0:01:39.22,1:39.22
W,downhill,pyeongchang,2018,2,ragnhild mowinckel,NOR,0:01:39.31,1:39.31
W,downhill,pyeongchang,2018,3,lindsey vonn,USA,0:01:39.69,1:39.69
W,downhill,pyeongchang,2018,4,tina weirather,LIE,0:01:39.85,1:39.85
W,downhill,pyeongchang,2018,5,alice mckennis,USA,0:01:40.24,1:40.24
W,downhill,pyeongchang,2018,6,corinne suter,SUI,0:01:40.29,1:40.29
W,downhill,pyeongchang,2018,7,breezy johnson,USA,0:01:40.34,1:40.34
W,downhill,pyeongchang,2018,8,michelle gisin,SUI,0:01:40.55,1:40.55
W,downhill,pyeongchang,2018,9,viktoria rebensburg,GER,0:01:40.64,1:40.64
W,downhill,pyeongchang,2018,10,ramona siebenhofer,AUT,0:01:40.98,1:40.98
W,downhill,pyeongchang,2018,11,kira weidle,GER,0:01:41.01,1:41.01
