gender,sport,location,year,rank,name,country,results,Performance
M,100m backstroke,rio,2016,1,ryan murphy,USA,0:00:51.97,51.97
M,100m backstroke,rio,2016,2,jiayu xu,CHN,0:00:52.31,52.31
M,100m backstroke,rio,2016,3,david plummer,USA,0:00:52.40,52.40
M,100m backstroke,rio,2016,4,mitchell larkin,AUS,0:00:52.43,52.43
M,100m backstroke,rio,2016,5,camille lacourt,FRA,0:00:52.70,52.70
M,100m backstroke,rio,2016,6,evgeny rylov,RUS,0:00:52.74,52.74
M,100m backstroke,rio,2016,7,ryosuke irie,JPN,0:00:53.42,53.42
M,100m backstroke,rio,2016,8,robert glinta,ROU,0:00:53.50,53.50
W,100m backstroke,rio,2016,1,katinka hosszu,HUN,0:00:58.45,58.45
W,100m backstroke,rio,2016,2,kathleen baker,USA,0:00:58.75,58.75
W,100m backstroke,rio,2016,3,kylie masse,CAN,0:00:58.76,58.76
W,100m backstroke,rio,2016,4,yuanhui fu,CHN,0:00:58.76,58.76
W,100m backstroke,rio,2016,5,mie nielsen,DEN,0:00:58.80,58.80
W,100m backstroke,rio,2016,6,olivia smoliga,USA,0:00:58.95,58.95
W,100m backstroke,rio,2016,7,emily seebohm,AUS,0:00:59.19,59.19
W,100m backstroke,rio,2016,8,madison wilson,AUS,0:00:59.23,59.23
M,100m breaststroke,rio,2016,1,adam peaty,GBR,0:00:57.13,57.13
M,100m breaststroke,rio,2016,2,cameron van der burgh,RSA,0:00:58.69,58.69
M,100m breaststroke,rio,2016,3,cody miller,USA,0:00:58.87,58.87
M,100m breaststroke,rio,2016,4,kevin cordes,USA,0:00:59.22,59.22
M,100m breaststroke,rio,2016,5,joao gomes,BRA,0:00:59.31,59.31
M,100m breaststroke,rio,2016,6,yasuhiro koseki,JPN,0:00:59.37,59.37
M,100m breaststroke,rio,2016,7,felipe franca,BRA,0:00:59.38,59.38
M,100m breaststroke,rio,2016,8,dmitriy balandin,KAZ,0:00:59.95,59.95
W,100m breaststroke,rio,2016,1,lilly king,USA,0:01:04.93,1:04.93
W,100m breaststroke,rio,2016,2,yuliya efimova,RUS,0:01:05.50,1:05.50
W,100m breaststroke,rio,2016,3,katie meili,USA,0:01:05.69,1:05.69
W,100m breaststroke,rio,2016,4,jinglin shi,CHN,0:01:06.37,1:06.37
W,100m breaststroke,rio,2016,5,rachel nicol,CAN,0:01:06.68,1:06.68
W,100m breaststroke,rio,2016,6,hrafnhildur luthersdottir,ISL,0:01:07.18,1:07.18
W,100m breaststroke,rio,2016,7,ruta meilutyte,LTU,0:01:07.32,1:07.32
W,100m breaststroke,rio,2016,8,alia atkinson,JAM,0:01:08.10,1:08.10
M,100m butterfly,rio,2016,1,joseph schooling,SGP,0:00:50.39,50.39
M,100m butterfly,rio,2016,2,michael phelps,USA,0:00:51.14,51.14
M,100m butterfly,rio,2016,3,chad le clos,RSA,0:00:51.14,51.14
M,100m butterfly,rio,2016,4,laszlo cseh,HUN,0:00:51.14,51.14
M,100m butterfly,rio,2016,5,zhuhao li,CHN,0:00:51.26,51.26
M,100m butterfly,rio,2016,6,mehdy metella,FRA,0:00:51.58,51.58
M,100m butterfly,rio,2016,7,tom shields,USA,0:00:51.73,51.73
M,100m butterfly,rio,2016,8,aleksandr sadovnikov,RUS,0:00:51.84,51.84
W,100m butterfly,rio,2016,1,sarah sjostrom,SWE,0:00:55.48,55.48
W,100m butterfly,rio,2016,2,penny oleksiak,CAN,0:00:56.46,56.46
W,100m butterfly,rio,2016,3,dana vollmer,USA,0:00:56.63,56.63
W,100m butterfly,rio,2016,4,ying lu,CHN,0:00:56.76,56.76
